#Frame      BB_to_ref
      10       1.0157
      20       1.0320
      30       1.0475
      40       1.0091
      50       0.9907
      60       0.9794
      70       1.1414
      80       1.0867
      90       1.0941
     100       1.2007
     110       1.1844
     120       1.0047
     130       1.1345
     140       1.3085
     150       1.2796
     160       1.2431
     170       1.2673
     180       1.2234
     190       1.1079
     200       0.9476
     210       0.9631
     220       0.8340
     230       0.9145
     240       0.9819
     250       1.0099
     260       1.0096
     270       1.0136
     280       1.0806
     290       1.0732
     300       0.9852
     310       1.0307
     320       1.0221
     330       1.1415
     340       1.1458
     350       1.2422
     360       1.1955
     370       1.1891
     380       1.1522
     390       1.1198
     400       1.1122
     410       1.2102
     420       1.1771
     430       1.1612
     440       1.2430
     450       1.1774
     460       1.3102
     470       1.4012
     480       1.2545
     490       1.2485
     500       1.1415
     510       1.2636
     520       1.3134
     530       1.3295
     540       1.2248
     550       1.3355
     560       1.2663
     570       1.3918
     580       1.5105
     590       1.5438
     600       1.4890
     610       1.4616
     620       1.5053
     630       1.5479
     640       1.4259
     650       1.4429
     660       1.4720
     670       1.5490
     680       1.6546
     690       1.6913
     700       1.7408
     710       1.7182
     720       1.9253
     730       1.7774
     740       1.7124
     750       1.7073
     760       1.7250
     770       1.5111
     780       1.5230
     790       1.5982
     800       1.5169
     810       1.3609
     820       1.2613
     830       1.5114
     840       1.3848
     850       1.4535
     860       1.6297
     870       1.8544
     880       2.0448
     890       2.0448
     900       1.9789
     910       2.1644
     920       2.0912
     930       2.0241
     940       2.0253
     950       1.9868
     960       2.0290
     970       1.8325
     980       2.0020
     990       2.1191
    1000       2.0251
    1010       1.9452
    1020       1.7554
    1030       1.9347
    1040       1.9121
    1050       2.0340
    1060       2.2198
    1070       2.0143
    1080       1.9511
    1090       2.0017
    1100       2.2389
    1110       2.3157
    1120       2.2578
    1130       2.2990
    1140       2.2395
    1150       2.3101
    1160       2.3127
    1170       2.2740
    1180       2.2609
    1190       2.2074
    1200       2.2839
    1210       2.2106
    1220       2.2827
    1230       2.0853
    1240       2.0492
    1250       2.1561
    1260       2.1464
    1270       2.2048
    1280       2.1194
    1290       2.0396
    1300       1.9120
    1310       2.1008
    1320       2.0699
    1330       2.0044
    1340       2.0454
    1350       2.0806
    1360       2.1574
    1370       2.0669
    1380       2.0721
    1390       1.9748
    1400       2.1124
    1410       2.1173
    1420       2.0350
    1430       2.1498
    1440       2.1743
    1450       2.1029
    1460       2.0445
    1470       2.0231
    1480       1.9969
    1490       2.0197
    1500       2.0248
    1510       1.9750
    1520       2.0018
    1530       2.1151
    1540       2.0479
    1550       2.1116
    1560       1.9992
    1570       1.8821
    1580       1.9188
    1590       1.9692
    1600       1.9498
    1610       1.8958
    1620       1.9895
    1630       1.9617
    1640       1.9592
    1650       1.8617
    1660       1.7926
    1670       1.8536
    1680       1.9527
    1690       1.8724
    1700       1.8509
    1710       1.9240
    1720       2.0358
    1730       2.0351
    1740       2.0637
    1750       2.2062
    1760       2.1447
    1770       2.1444
    1780       2.3145
    1790       2.1960
    1800       2.1877
    1810       2.0794
    1820       2.1072
    1830       2.1232
    1840       2.1183
    1850       2.0660
    1860       2.2092
    1870       2.0766
    1880       2.0180
    1890       2.0392
    1900       1.9948
    1910       1.9186
    1920       1.9170
    1930       1.8577
    1940       1.8659
    1950       1.9576
    1960       1.9322
    1970       1.8308
    1980       1.9396
    1990       2.0613
    2000       1.8805
