#Frame         Rg_all  Rg_all[Max]
     490      17.4386      35.7462
     492      17.4381      35.4098
     494      17.4502      35.7566
     496      17.4537      35.4868
     498      17.4387      35.6738
     500      17.4383      35.5908
     502      17.4342      35.6592
     504      17.4419      35.6748
     506      17.4352      35.5086
     508      17.4295      35.5089
     510      17.4422      35.7333
     512      17.4290      35.7609
     514      17.4363      35.6894
     516      17.4347      35.8071
     518      17.4264      35.8830
     520      17.4435      35.5064
     522      17.4440      35.4166
     524      17.4528      35.3993
     526      17.4270      35.9410
     528      17.4235      35.5424
     530      17.4496      35.4012
     532      17.4404      35.6345
     534      17.4290      35.4998
     536      17.4297      35.6040
     538      17.4465      35.5906
     540      17.4416      35.2983
     542      17.4308      35.7585
     544      17.4450      35.4766
     546      17.4394      35.7155
     548      17.4293      35.5259
     550      17.4317      35.9355
     552      17.4346      35.4480
     554      17.4294      35.7975
     556      17.4288      35.6052
     558      17.4371      35.8266
     560      17.4377      35.5801
     562      17.4402      35.7511
     564      17.4353      35.5378
     566      17.4301      35.8468
     568      17.4355      35.2208
     570      17.4582      35.6250
     572      17.4373      35.0262
     574      17.4405      35.8929
     576      17.4444      35.4359
     578      17.4330      35.6902
     580      17.4365      35.6644
     582      17.4258      35.6797
     584      17.4352      35.8229
     586      17.4626      35.6812
     588      17.4354      35.7153
     590      17.4333      35.4807
     592      17.4243      35.6720
     594      17.4457      35.7368
     596      17.4472      35.6500
     598      17.4371      35.4970
     600      17.4348      35.5414
     602      17.4319      35.6364
     604      17.4484      35.4845
     606      17.4349      35.5426
     608      17.4398      35.5905
     610      17.4330      35.3616
     612      17.4461      35.2792
     614      17.4452      35.5073
     616      17.4207      35.3880
     618      17.4307      35.5500
     620      17.4374      35.7216
     622      17.4430      35.7224
     624      17.4439      35.4616
     626      17.4369      35.3898
     628      17.4520      35.8099
     630      17.4429      35.4666
     632      17.4334      35.1813
     634      17.4377      35.4959
     636      17.4315      35.5700
     638      17.4389      35.7446
     640      17.4345      35.6176
     642      17.4451      35.4484
     644      17.4435      35.5901
     646      17.4525      35.7657
     648      17.4307      35.7113
     650      17.4487      35.6145
     652      17.4429      35.6571
     654      17.4440      35.4131
     656      17.4223      35.7578
     658      17.4299      35.4774
     660      17.4365      35.7876
     662      17.4383      35.6959
     664      17.4305      35.6637
     666      17.4387      35.5415
     668      17.4531      35.6394
     670      17.4472      35.5060
     672      17.4430      35.4688
     674      17.4414      35.3804
     676      17.4212      35.3567
     678      17.4336      35.2704
     680      17.4261      35.6131
     682      17.4433      35.6925
     684      17.4484      35.5048
     686      17.4375      35.6405
     688      17.4268      35.4802
     690      17.4389      35.6200
     692      17.4326      35.6022
     694      17.4196      35.3538
     696      17.4401      35.8366
     698      17.4512      35.4731
     700      17.4440      35.6594
     702      17.4319      35.5355
     704      17.4454      35.6815
     706      17.4323      35.5427
     708      17.4153      35.2410
