#Frame     3.5[lower]   3.5[upper]
     455            0            1
     456            0            0
     457            0            1
     458            0            0
     459            0            0
     460            0            0
     461            0            0
     462            0            1
     463            0            0
     464            0            1
     465            0            0
     466            0            1
     467            0            1
     468            0            1
     469            0            1
     470            0            1
     471            0            2
     472            0            1
     473            0            1
     474            0            1
     475            0            0
     476            0            1
     477            0            1
     478            0            1
     479            0            1
     480            0            0
     481            0            0
     482            0            0
     483            0            1
     484            0            1
     485            0            0
     486            0            1
     487            0            1
     488            0            1
     489            0            1
     490            0            1
     491            0            0
     492            0            0
     493            0            0
     494            0            0
     495            0            0
     496            0            1
     497            0            1
     498            0            0
     499            0            0
     500            0            0
     501            0            0
     502            0            0
     503            0            0
     504            0            1
     505            0            0
     506            0            1
     507            0            0
     508            0            0
     509            0            1
     510            0            1
     511            0            1
     512            0            1
     513            1            2
     514            0            0
     515            0            1
     516            0            1
     517            0            2
     518            0            0
     519            0            0
     520            0            0
     521            0            1
     522            0            1
     523            1            2
     524            0            1
     525            1            2
     526            0            1
     527            1            1
     528            1            1
     529            0            2
     530            1            2
     531            1            2
     532            1            1
     533            1            2
     534            1            2
     535            1            2
     536            1            1
     537            1            1
     538            1            3
     539            1            2
     540            1            2
     541            1            2
     542            1            2
     543            1            1
     544            1            2
     545            1            1
     546            1            1
     547            1            2
     548            1            2
     549            1            2
     550            1            2
     551            1            1
     552            1            1
     553            1            2
     554            1            1
     555            1            1
     556            1            1
     557            1            2
     558            1            2
     559            0            1
     560            0            1
     561            0            1
     562            0            0
     563            0            0
     564            0            1
     565            0            1
     566            1            1
     567            0            1
     568            0            1
     569            1            2
     570            0            1
     571            1            2
     572            0            2
     573            0            1
     574            0            1
     575            0            0
     576            0            2
     577            0            2
     578            0            1
     579            0            2
     580            1            2
     581            0            2
     582            0            1
     583            0            0
     584            0            1
     585            0            0
     586            0            1
     587            0            1
     588            0            1
     589            0            1
     590            0            1
     591            0            0
     592            0            0
     593            0            0
     594            0            0
     595            0            0
     596            0            1
     597            0            0
     598            0            0
     599            0            0
     600            0            0
     601            0            0
     602            0            0
     603            0            1
     604            0            0
     605            0            2
     606            0            1
     607            0            1
     608            0            2
     609            0            2
     610            0            2
     611            0            1
     612            0            1
     613            1            1
     614            0            1
     615            0            0
     616            0            1
     617            0            1
     618            0            1
     619            0            1
     620            0            1
     621            0            1
     622            0            0
     623            0            2
     624            0            0
     625            0            1
     626            0            0
     627            0            1
     628            0            1
     629            0            1
     630            0            1
     631            0            0
     632            0            0
     633            0            1
     634            0            1
     635            0            1
     636            0            1
     637            0            1
     638            0            1
     639            0            1
     640            0            1
     641            0            1
     642            0            2
     643            0            1
     644            1            1
     645            1            1
     646            0            1
     647            0            2
     648            0            1
     649            0            1
     650            0            0
     651            0            1
     652            0            2
     653            1            1
     654            0            2
     655            1            1
     656            0            1
     657            0            1
     658            0            1
     659            0            2
     660            1            2
     661            0            2
     662            0            1
     663            0            1
     664            0            1
     665            0            1
     666            0            0
     667            0            0
     668            0            0
     669            0            1
     670            0            0
     671            0            1
     672            0            1
     673            0            0
     674            0            0
     675            0            0
     676            0            0
     677            0            1
     678            0            1
     679            0            1
     680            0            1
     681            1            1
     682            1            2
     683            1            1
     684            1            2
     685            0            1
     686            0            2
     687            1            2
     688            1            1
     689            0            1
     690            0            1
     691            0            1
     692            0            0
     693            0            1
     694            0            1
     695            1            2
     696            1            2
     697            1            1
     698            1            1
     699            1            1
     700            1            1
     701            1            1
     702            1            1
     703            1            3
     704            1            2
     705            1            2
     706            1            2
     707            1            1
     708            1            1
     709            1            1
     710            1            1
     711            1            2
     712            1            1
     713            1            2
     714            1            2
     715            1            1
     716            1            2
     717            1            1
     718            1            1
     719            1            1
     720            1            2
     721            1            2
     722            1            2
     723            1            2
     724            1            2
     725            1            1
     726            1            2
     727            1            1
     728            1            2
     729            1            2
     730            1            1
     731            1            1
     732            1            1
     733            1            1
     734            1            1
     735            1            1
     736            1            2
     737            1            2
     738            1            2
     739            1            1
     740            1            1
     741            1            1
     742            1            2
     743            1            2
     744            1            2
     745            1            2
     746            1            2
     747            1            2
     748            1            1
     749            1            1
     750            0            1
     751            0            0
     752            0            1
     753            0            0
     754            0            2
     755            0            1
     756            0            0
     757            0            1
     758            0            1
     759            0            0
     760            0            1
     761            0            1
     762            0            1
     763            0            0
     764            0            0
     765            0            1
     766            0            1
     767            0            0
     768            0            0
     769            0            0
     770            0            0
     771            0            1
     772            1            1
     773            0            0
     774            0            0
     775            0            2
     776            0            0
     777            0            0
     778            0            1
     779            0            1
     780            0            1
     781            0            1
     782            0            1
     783            0            1
     784            0            0
     785            0            1
     786            0            1
     787            0            0
     788            0            1
     789            0            1
     790            0            0
     791            0            1
     792            0            0
     793            0            1
     794            0            1
     795            0            1
     796            0            1
     797            0            1
     798            0            2
     799            0            1
     800            0            1
     801            0            1
     802            0            1
     803            0            0
     804            0            1
     805            0            0
     806            0            1
     807            0            1
     808            1            2
     809            1            1
     810            1            1
     811            1            1
     812            1            2
     813            1            2
     814            1            2
     815            1            2
     816            1            2
     817            1            2
     818            1            1
     819            1            2
     820            1            1
     821            1            2
     822            1            1
     823            1            1
     824            0            1
     825            0            1
     826            0            0
     827            0            0
     828            0            1
     829            0            0
     830            0            0
     831            0            0
     832            0            1
     833            0            2
     834            0            1
     835            0            1
     836            0            0
     837            0            2
     838            0            1
     839            0            1
     840            0            0
     841            0            1
     842            0            1
     843            0            1
     844            0            0
     845            0            1
     846            0            2
     847            0            2
     848            0            2
     849            0            1
     850            0            1
     851            0            1
     852            0            0
     853            0            1
     854            0            1
     855            0            0
     856            0            2
     857            1            1
     858            1            2
     859            1            1
     860            0            1
     861            0            1
     862            0            1
     863            0            0
     864            0            0
     865            0            1
     866            0            2
     867            0            1
     868            0            1
     869            0            1
     870            0            1
     871            0            0
     872            0            0
     873            0            1
     874            0            0
     875            0            1
     876            0            0
     877            0            0
     878            0            0
     879            0            0
     880            0            1
     881            0            2
     882            0            1
     883            0            0
     884            0            1
     885            0            1
     886            0            1
     887            0            1
     888            0            1
     889            0            1
     890            0            1
     891            0            1
     892            0            1
     893            0            1
     894            0            1
     895            0            1
     896            0            1
     897            0            1
     898            0            1
     899            0            0
     900            0            0
     901            0            0
     902            0            0
     903            0            1
     904            0            0
     905            0            0
     906            0            1
     907            0            2
     908            0            2
     909            0            1
     910            0            1
     911            0            1
     912            0            1
     913            0            0
     914            0            1
     915            0            0
     916            0            0
     917            0            1
     918            0            1
     919            0            0
     920            0            0
     921            0            0
     922            0            0
     923            0            1
     924            0            0
     925            0            1
     926            0            1
     927            0            0
     928            0            1
     929            0            1
     930            0            0
     931            0            1
     932            0            0
     933            0            1
     934            0            1
     935            0            0
     936            0            1
     937            0            0
     938            0            0
     939            0            0
     940            0            1
     941            0            1
     942            0            1
     943            0            1
     944            0            1
     945            0            1
     946            0            0
     947            0            0
     948            0            0
     949            0            0
     950            0            0
     951            0            0
     952            0            1
     953            0            0
     954            0            0
     955            0            0
     956            0            0
     957            0            0
     958            0            1
     959            0            1
     960            0            0
     961            0            0
     962            0            0
     963            0            0
     964            0            0
     965            0            0
     966            0            1
     967            0            0
     968            0            0
     969            0            0
     970            0            1
     971            0            2
     972            0            1
     973            1            2
     974            0            2
     975            0            1
     976            0            0
     977            0            0
     978            0            1
     979            0            0
     980            0            0
     981            0            2
     982            0            1
     983            0            1
     984            0            0
     985            0            1
     986            0            1
     987            0            0
     988            0            0
     989            0            0
     990            0            0
     991            0            0
     992            0            0
     993            0            2
     994            0            1
     995            0            1
     996            0            2
     997            0            1
     998            0            0
     999            0            0
    1000            0            2
    1001            0            0
    1002            0            1
    1003            0            2
    1004            0            1
    1005            0            1
    1006            0            0
    1007            1            1
    1008            0            1
    1009            0            1
    1010            0            1
    1011            0            1
    1012            0            0
    1013            1            2
    1014            1            2
    1015            0            1
    1016            0            0
    1017            0            0
    1018            0            1
    1019            1            2
    1020            0            2
    1021            1            1
    1022            0            2
    1023            0            1
    1024            0            2
    1025            0            0
    1026            0            2
    1027            0            1
    1028            0            2
    1029            0            2
    1030            0            2
    1031            0            0
    1032            0            1
    1033            0            0
    1034            1            2
    1035            0            0
    1036            0            1
    1037            0            2
    1038            0            2
    1039            0            0
    1040            0            2
    1041            0            1
    1042            0            1
    1043            0            0
    1044            0            0
    1045            0            1
    1046            0            0
    1047            0            0
    1048            0            0
    1049            0            1
    1050            0            0
    1051            0            1
    1052            0            1
    1053            0            2
    1054            0            1
    1055            0            0
    1056            0            0
    1057            0            1
    1058            0            0
    1059            0            1
    1060            0            1
    1061            0            0
    1062            0            1
    1063            1            1
    1064            1            2
    1065            1            1
    1066            1            2
    1067            1            1
    1068            1            2
    1069            1            1
    1070            1            2
    1071            1            1
    1072            1            2
    1073            1            2
    1074            1            2
    1075            1            1
    1076            1            1
    1077            1            2
    1078            1            1
    1079            1            2
    1080            1            2
    1081            1            2
    1082            1            1
    1083            1            2
    1084            0            1
    1085            0            0
    1086            1            1
    1087            0            1
    1088            0            1
    1089            0            0
    1090            0            0
    1091            0            0
    1092            0            2
    1093            0            0
    1094            0            1
    1095            0            1
    1096            0            1
    1097            0            0
    1098            0            1
    1099            0            0
    1100            0            0
    1101            0            1
    1102            0            1
    1103            0            0
    1104            0            1
    1105            1            2
    1106            1            2
    1107            1            1
    1108            1            2
    1109            0            1
    1110            0            1
    1111            0            0
    1112            0            0
    1113            0            1
    1114            0            2
    1115            1            2
    1116            1            2
    1117            1            1
    1118            1            1
    1119            1            2
    1120            1            1
    1121            1            2
    1122            1            1
    1123            1            1
    1124            1            1
    1125            0            0
    1126            0            0
    1127            0            0
    1128            0            0
    1129            0            1
    1130            0            2
    1131            0            2
    1132            0            2
    1133            0            0
    1134            0            1
    1135            0            2
    1136            0            0
