#Frame     3.5[lower]   3.5[upper]
     455            0            2
     456            1            2
     457            0            2
     458            0            3
     459            0            2
     460            0            3
     461            1            3
     462            0            3
     463            0            2
     464            0            3
     465            0            2
     466            0            3
     467            0            4
     468            0            2
     469            0            2
     470            0            2
     471            0            2
     472            1            2
     473            0            2
     474            0            2
     475            1            2
     476            1            3
     477            1            3
     478            1            2
     479            1            4
     480            0            2
     481            0            3
     482            0            3
     483            1            2
     484            1            1
     485            1            2
     486            1            2
     487            0            2
     488            0            2
     489            0            1
     490            0            3
     491            0            2
     492            1            3
     493            1            4
     494            0            2
     495            0            3
     496            0            3
     497            0            3
     498            0            3
     499            0            3
     500            0            3
     501            0            3
     502            0            2
     503            0            2
     504            0            3
     505            0            4
     506            0            2
     507            0            3
     508            0            2
     509            0            3
     510            1            4
     511            0            2
     512            0            2
     513            1            3
     514            0            4
     515            0            3
     516            0            2
     517            1            5
     518            0            1
     519            0            4
     520            0            2
     521            0            3
     522            0            3
     523            0            3
     524            0            2
     525            0            3
     526            0            2
     527            0            3
     528            0            3
     529            0            3
     530            0            2
     531            0            3
     532            0            4
     533            0            3
     534            0            3
     535            0            3
     536            0            1
     537            0            3
     538            0            3
     539            0            3
     540            0            4
     541            0            3
     542            0            2
     543            0            2
     544            1            3
     545            0            3
     546            0            3
     547            0            2
     548            0            4
     549            0            3
     550            0            3
     551            0            3
     552            0            5
     553            0            2
     554            0            4
     555            0            4
     556            0            4
     557            1            4
     558            0            3
     559            0            2
     560            0            1
     561            0            3
     562            0            3
     563            0            2
     564            0            2
     565            0            2
     566            0            4
     567            0            2
     568            0            2
     569            1            3
     570            0            3
     571            1            4
     572            0            3
     573            0            2
     574            0            3
     575            0            3
     576            1            3
     577            0            2
     578            1            1
     579            0            4
     580            1            5
     581            0            3
     582            0            3
     583            0            3
     584            0            4
     585            0            3
     586            0            3
     587            0            3
     588            0            2
     589            0            2
     590            0            3
     591            0            2
     592            0            3
     593            0            3
     594            0            3
     595            0            2
     596            0            2
     597            0            3
     598            0            3
     599            0            2
     600            0            3
     601            0            3
     602            0            2
     603            0            3
     604            0            2
     605            0            1
     606            1            2
     607            0            2
     608            1            3
     609            1            5
     610            1            2
     611            1            2
     612            0            2
     613            0            3
     614            0            3
     615            0            3
     616            0            4
     617            0            3
     618            0            2
     619            0            3
     620            0            2
     621            0            2
     622            0            2
     623            0            2
     624            0            3
     625            1            2
     626            0            2
     627            0            2
     628            0            2
     629            0            2
     630            0            2
     631            0            2
     632            0            2
     633            0            2
     634            0            2
     635            0            2
     636            0            3
     637            0            4
     638            0            2
     639            0            3
     640            0            4
     641            0            3
     642            1            4
     643            0            2
     644            0            4
     645            0            3
     646            0            3
     647            0            4
     648            1            3
     649            0            2
     650            0            4
     651            0            3
     652            1            2
     653            0            3
     654            0            2
     655            0            2
     656            0            2
     657            0            1
     658            0            3
     659            1            2
     660            0            2
     661            1            1
     662            1            2
     663            1            3
     664            0            2
     665            0            2
     666            0            2
     667            0            2
     668            0            1
     669            1            3
     670            0            2
     671            0            5
     672            0            4
     673            0            3
     674            0            2
     675            0            2
     676            0            3
     677            0            3
     678            0            3
     679            0            3
     680            0            2
     681            0            2
     682            0            3
     683            0            4
     684            0            2
     685            0            3
     686            0            3
     687            0            4
     688            0            3
     689            0            2
     690            1            4
     691            0            2
     692            0            3
     693            0            2
     694            0            3
     695            1            4
     696            0            5
     697            0            5
     698            0            3
     699            0            3
     700            0            5
     701            0            4
     702            0            4
     703            0            2
     704            1            2
     705            0            3
     706            0            4
     707            0            3
     708            0            3
     709            1            3
     710            1            4
     711            0            3
     712            0            2
     713            1            3
     714            0            3
     715            0            2
     716            0            4
     717            0            4
     718            0            4
     719            0            4
     720            1            5
     721            0            3
     722            0            5
     723            0            4
     724            0            3
     725            0            3
     726            0            3
     727            0            4
     728            0            4
     729            0            4
     730            0            3
     731            0            4
     732            0            3
     733            0            4
     734            0            4
     735            0            4
     736            0            5
     737            0            3
     738            0            4
     739            0            3
     740            0            5
     741            0            4
     742            0            4
     743            0            4
     744            0            5
     745            0            4
     746            0            4
     747            0            5
     748            0            5
     749            0            3
     750            0            2
     751            0            3
     752            1            3
     753            0            2
     754            0            2
     755            1            3
     756            0            3
     757            0            4
     758            1            4
     759            0            3
     760            0            4
     761            0            3
     762            0            3
     763            0            2
     764            0            3
     765            0            3
     766            0            2
     767            0            3
     768            0            2
     769            0            1
     770            0            3
     771            0            1
     772            0            4
     773            0            5
     774            0            4
     775            0            2
     776            0            2
     777            1            2
     778            1            2
     779            0            2
     780            0            2
     781            1            5
     782            1            3
     783            1            3
     784            0            4
     785            0            2
     786            0            3
     787            0            4
     788            1            3
     789            0            2
     790            0            4
     791            0            3
     792            0            1
     793            0            4
     794            0            1
     795            0            3
     796            0            4
     797            0            3
     798            0            3
     799            0            2
     800            0            3
     801            0            3
     802            0            4
     803            0            3
     804            1            4
     805            0            4
     806            0            2
     807            1            3
     808            1            4
     809            0            4
     810            0            3
     811            0            4
     812            0            4
     813            0            3
     814            0            3
     815            0            3
     816            0            4
     817            0            2
     818            0            2
     819            0            3
     820            0            3
     821            0            4
     822            0            3
     823            0            4
     824            0            1
     825            0            3
     826            0            3
     827            0            2
     828            1            4
     829            0            2
     830            0            1
     831            0            3
     832            0            2
     833            0            3
     834            0            3
     835            0            3
     836            0            3
     837            0            3
     838            0            3
     839            0            3
     840            0            1
     841            0            3
     842            0            4
     843            0            2
     844            0            1
     845            0            4
     846            0            3
     847            0            1
     848            0            3
     849            0            3
     850            0            3
     851            0            3
     852            0            2
     853            0            3
     854            0            3
     855            0            1
     856            0            2
     857            1            3
     858            1            4
     859            0            4
     860            0            2
     861            0            3
     862            0            3
     863            0            3
     864            0            2
     865            0            3
     866            0            4
     867            0            4
     868            0            3
     869            0            4
     870            0            3
     871            0            3
     872            0            3
     873            0            3
     874            0            3
     875            0            2
     876            0            5
     877            0            3
     878            0            2
     879            0            4
     880            0            3
     881            0            3
     882            0            2
     883            1            5
     884            1            3
     885            0            3
     886            0            3
     887            0            3
     888            0            2
     889            0            3
     890            0            4
     891            0            1
     892            0            2
     893            0            3
     894            0            2
     895            0            2
     896            0            4
     897            1            2
     898            0            3
     899            0            2
     900            0            2
     901            0            2
     902            0            2
     903            0            2
     904            0            3
     905            0            3
     906            1            3
     907            0            2
     908            0            3
     909            0            3
     910            0            1
     911            0            3
     912            0            3
     913            0            1
     914            0            4
     915            0            2
     916            0            3
     917            0            2
     918            0            1
     919            0            2
     920            0            1
     921            0            3
     922            0            3
     923            0            2
     924            0            1
     925            0            3
     926            1            4
     927            0            4
     928            0            2
     929            0            3
     930            0            2
     931            0            3
     932            0            3
     933            0            3
     934            0            2
     935            1            2
     936            0            3
     937            0            2
     938            0            4
     939            0            3
     940            0            2
     941            0            1
     942            0            3
     943            0            3
     944            1            3
     945            0            1
     946            0            1
     947            0            2
     948            0            4
     949            0            2
     950            0            2
     951            0            1
     952            0            1
     953            0            3
     954            0            3
     955            0            2
     956            0            3
     957            0            2
     958            0            3
     959            1            3
     960            0            3
     961            0            3
     962            0            3
     963            0            2
     964            0            2
     965            0            3
     966            1            2
     967            1            3
     968            0            2
     969            1            1
     970            1            1
     971            0            2
     972            0            1
     973            1            3
     974            0            1
     975            0            2
     976            0            2
     977            0            3
     978            0            3
     979            0            2
     980            0            3
     981            0            1
     982            0            2
     983            0            2
     984            0            2
     985            0            2
     986            0            1
     987            0            4
     988            0            3
     989            0            2
     990            0            3
     991            1            3
     992            0            3
     993            1            3
     994            0            3
     995            0            3
     996            0            3
     997            0            4
     998            0            2
     999            0            2
    1000            1            2
    1001            0            3
    1002            0            3
    1003            0            3
    1004            0            2
    1005            0            3
    1006            0            2
    1007            0            3
    1008            0            3
    1009            0            2
    1010            0            1
    1011            0            2
    1012            0            2
    1013            0            4
    1014            0            4
    1015            0            2
    1016            1            3
    1017            0            3
    1018            1            1
    1019            0            3
    1020            1            3
    1021            0            3
