#Frame      BB_to_ref
      10       0.5071
      20       0.5260
      30       0.5064
      40       0.5334
      50       0.4776
      60       0.5227
      70       0.5368
      80       0.4850
      90       0.4995
     100       0.5137
     110       0.4923
     120       0.5082
     130       0.5048
     140       0.5504
     150       0.4819
     160       0.5289
     170       0.4960
     180       0.5021
     190       0.4683
     200       0.5035
     210       0.4949
     220       0.4998
     230       0.4931
     240       0.5016
     250       0.5226
     260       0.5029
     270       0.5145
     280       0.4941
     290       0.5047
     300       0.4931
     310       0.5057
     320       0.4959
     330       0.4955
     340       0.5028
     350       0.4920
     360       0.5170
     370       0.5058
     380       0.5100
     390       0.5325
     400       0.4906
     410       0.4850
     420       0.5399
     430       0.4876
     440       0.4970
     450       0.5431
     460       0.4957
     470       0.5167
     480       0.5184
     490       0.5237
     500       0.5203
     510       0.5173
     520       0.5135
     530       0.5046
     540       0.5077
     550       0.4776
     560       0.4866
     570       0.4794
     580       0.4982
     590       0.4988
     600       0.4620
     610       0.5124
     620       0.4941
     630       0.5294
     640       0.5212
     650       0.5144
     660       0.5195
     670       0.5101
     680       0.5229
     690       0.5259
     700       0.5335
     710       0.5340
     720       0.5374
     730       0.5161
     740       0.5310
     750       0.5230
     760       0.5075
     770       0.5069
     780       0.5080
     790       0.5268
     800       0.4896
     810       0.5131
     820       0.5085
     830       0.4931
     840       0.5318
     850       0.5192
     860       0.5351
     870       0.5063
     880       0.4991
     890       0.5217
     900       0.5533
     910       0.5064
     920       0.5223
     930       0.5036
     940       0.5269
     950       0.5014
     960       0.5138
     970       0.5382
     980       0.5533
     990       0.5282
    1000       0.5293
